text,label
"This movie was absolutely fantastic! The acting was superb and the plot kept me engaged throughout.",positive
"Terrible film. Waste of time and money. The storyline made no sense.",negative
"I loved every minute of it. Best movie I've seen this year!",positive
"Boring and predictable. I fell asleep halfway through.",negative
"Outstanding performances by the entire cast. Highly recommend!",positive
"The worst movie I have ever seen. Poor directing and terrible script.",negative
"A masterpiece! Beautiful cinematography and powerful storytelling.",positive
"Very disappointing. Expected much more based on the reviews.",negative
"Incredible film with amazing special effects and a compelling story.",positive
"Not worth watching. The acting was wooden and the dialogue was awful.",negative
"Brilliant movie! The director did an amazing job bringing this story to life.",positive
"Complete garbage. I want my money back.",negative
"One of the best films of the decade. Moving and thought-provoking.",positive
"Slow paced and uninteresting. Could not connect with any characters.",negative
"Absolutely loved it! The soundtrack alone is worth experiencing.",positive
"Poorly executed with a confusing plot. Very disappointed.",negative
"A true cinematic gem. Every scene was perfectly crafted.",positive
"Overhyped and underdelivered. Save your time.",negative
"Phenomenal acting and an emotional roller coaster. Must see!",positive
"Dull and lifeless. Couldn't wait for it to end.",negative
"Extraordinary film that exceeded all my expectations.",positive
"The script was weak and the pacing was off. Not impressed.",negative
"A stunning visual experience with a heartfelt story.",positive
"Forgettable and bland. Nothing special about this one.",negative
"Captivating from start to finish. A true work of art.",positive
"Terrible editing and poor character development. Avoid this one.",negative
"An emotional journey that stayed with me long after. Highly recommended!",positive
"Predictable and cliché. Felt like I'd seen it all before.",negative
"Beautifully shot with incredible performances all around.",positive
"Boring plot with no real substance. Very disappointing experience.",negative
